antecedents,consequents,support,confidence,lift,weighted_support,weighted_confidence,weighted_lift,weight_union,weight_ante,weight_cons,category
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.0204206203873258,0.7229862475442044,27.20028218579145,0.053756683822784486,0.8607002407628128,13.43748456976844,485166.01,563687.5499999999,578085.1899999998,Other
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.0204206203873258,0.7682672233820459,27.20028218579145,0.053756683822784486,0.8392638635146494,13.43748456976844,485166.01,578085.1899999998,563687.5499999999,Other
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.0273014816047944,0.7028571428571428,18.043003663003663,0.08164794319093456,0.7033573039674199,6.837487425968669,736890.82,1047676.3599999999,928404.7599999998,Other
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0273014816047944,0.9027522935779816,17.45547111863606,0.08164794319093456,0.9268290946609552,6.494627289143376,736890.82,795066.5599999999,1287962.809999999,Other
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.0273014816047944,0.8541666666666666,16.101399058577403,0.08164794319093456,0.9052870478751089,6.492125069966848,736890.82,813985.8200000002,1258511.899999998,Other
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.0319627101714666,0.6180257510729614,15.865302079894358,0.09019011525966127,0.6319948166826345,6.14375735912604,813985.8200000002,1287962.809999999,928404.7599999998,Mass Market Stars
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0319627101714666,0.8205128205128206,15.865302079894356,0.09019011525966127,0.8767574823722364,6.14375735912604,813985.8200000002,928404.7599999998,1287962.809999999,Mass Market Stars
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.0236390877309805,0.6077032810271041,15.667268708711651,0.06884800996770687,0.6999222781150797,6.570603407158631,621368.5800000001,887767.9700000007,961396.3300000004,Other
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.0236390877309805,0.6094420600858369,15.66726870871165,0.06884800996770687,0.6463188599856626,6.570603407158631,621368.5800000001,961396.3300000004,887767.9700000007,Other
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.0207535652849453,0.5491923641703378,14.70578840224912,0.08802537850103502,0.6883371326601079,6.1298994270302565,794448.59,1154156.23,1013457.9800000003,Mass Market Stars
